"Id","FullName",Age,Experience,"DateOfRegistration","Education","Skills","Gender","EmployementType","PhoneNumber","Country",Salary,"Currency"
1,"John Doe",30,5,"2022-01-15","Bachelor of Computer Science (BSc CS)","Frontend Developer,UI/UX Designer","Male","Full-time","+1234567890","USA",75000,"USD"
2,"Jane Smith",28,3,"2022-03-22","Master of Computer Science (MSc CS)","Backend Developer,Database Administrator","Female","Part-time","+441234567890","UK",60000,"GBP"
3,"Alex Johnson",35,8,"2021-11-05","Bachelor of Engineering (BE/BTech)","Fullstack Developer,DevOps Engineer","Male","Contract","+49876543210","Germany",85000,"EUR"
4,"Maria Garcia",32,6,"2022-02-18","Master of Technology (MTech)","Mobile Developer,QA Engineer","Female","Freelance","+34987654321","Spain",70000,"EUR"
5,"David Kim",29,4,"2022-05-30","Diploma in Computer Science","Machine Learning Engineer,Data Scientist","Male","Full-time","+82234567890","South Korea",65000,"USD"
6,"Sarah Chen",27,2,"2022-07-12","High School","Cloud Architect,Technical Support","Female","Part-time","+861234567890","China",55000,"USD"
7,"Michael Brown",40,12,"2020-09-08","Ph.D. in Computer Science","Fullstack Developer,Machine Learning Engineer","Male","Contract","+11234567890","Canada",95000,"USD"
8,"Emily Wilson",31,7,"2021-12-15","Bachelor of Computer Science (BSc CS)","Backend Developer,DevOps Engineer","Female","Freelance","+61456789012","Australia",80000,"AUD"
9,"James Lee",33,9,"2021-08-25","Master of Computer Science (MSc CS)","Mobile Developer,UI/UX Designer","Male","Full-time","+6567890123","Singapore",78000,"SGD"
10,"Olivia Martin",26,1,"2022-06-10","High School","Technical Support,QA Engineer","Other","Part-time","+33123456789","France",48000,"EUR"
11,"Robert Taylor",34,6,"2021-10-05","Bachelor of Computer Science (BSc CS)","Backend Developer,Database Administrator","Male","Full-time","+442345678901","UK",62000,"GBP"
12,"Sophia Anderson",29,4,"2022-04-18","Master of Computer Science (MSc CS)","Frontend Developer,UI/UX Designer","Female","Part-time","+13456789012","USA",58000,"USD"
13,"William Thomas",37,10,"2020-12-01","Ph.D. in Computer Science","Machine Learning Engineer,Data Scientist","Male","Contract","+49876543211","Germany",92000,"EUR"
14,"Emma White",31,5,"2021-09-22","Bachelor of Engineering (BE/BTech)","Fullstack Developer,DevOps Engineer","Female","Freelance","+34987654322","Spain",72000,"EUR"
15,"Daniel Harris",28,3,"2022-03-15","Diploma in Computer Science","Mobile Developer,QA Engineer","Male","Full-time","+82234567891","South Korea",63000,"USD"
16,"Ava Martinez",25,1,"2022-08-10","High School","Technical Support,Cloud Architect","Female","Part-time","+861234567891","China",52000,"USD"
17,"Joseph Clark",42,15,"2019-07-30","Ph.D. in Computer Science","Fullstack Developer,Machine Learning Engineer","Male","Contract","+11234567891","Canada",98000,"USD"
18,"Mia Rodriguez",30,6,"2021-11-20","Master of Technology (MTech)","Backend Developer,Database Administrator","Female","Freelance","+61456789013","Australia",82000,"AUD"
19,"Charles Lewis",36,8,"2021-05-12","Bachelor of Computer Science (BSc CS)","Mobile Developer,UI/UX Designer","Male","Full-time","+6567890124","Singapore",79000,"SGD"
20,"Charlotte Walker",27,2,"2022-05-05","High School","QA Engineer,Technical Support","Other","Part-time","+33123456790","France",49000,"EUR"
21,"Andrew Hall",33,7,"2021-04-18","Master of Computer Science (MSc CS)","DevOps Engineer,Cloud Architect","Male","Full-time","+442345678902","UK",68000,"GBP"
22,"Amelia Young",26,1,"2022-07-30","Bachelor of Engineering (BE/BTech)","Frontend Developer,UI/UX Designer","Female","Part-time","+13456789013","USA",56000,"USD"
23,"Joshua Allen",39,12,"2020-08-15","Ph.D. in Computer Science","Data Scientist,Machine Learning Engineer","Male","Contract","+49876543212","Germany",94000,"EUR"
24,"Harper King",32,6,"2021-10-10","Master of Technology (MTech)","Fullstack Developer,Backend Developer","Female","Freelance","+34987654323","Spain",71000,"EUR"
25,"David Scott",30,5,"2021-12-05","Diploma in Computer Science","Mobile Developer,QA Engineer","Male","Full-time","+82234567892","South Korea",64000,"USD"
26,"Evelyn Green",24,0,"2022-09-01","High School","Technical Support","Female","Part-time","+861234567892","China",50000,"USD"
27,"Matthew Baker",41,14,"2019-06-20","Ph.D. in Computer Science","DevOps Engineer,Cloud Architect","Male","Contract","+11234567892","Canada",97000,"USD"
28,"Abigail Adams",29,4,"2022-02-28","Bachelor of Computer Science (BSc CS)","Database Administrator,Backend Developer","Female","Freelance","+61456789014","Australia",81000,"AUD"
29,"Christopher Nelson",35,9,"2021-03-15","Master of Computer Science (MSc CS)","UI/UX Designer,Frontend Developer","Male","Full-time","+6567890125","Singapore",80000,"SGD"
30,"Elizabeth Carter",28,3,"2022-04-10","High School","QA Engineer,Technical Support","Other","Part-time","+33123456791","France",50000,"EUR"
31,"Anthony Mitchell",34,7,"2021-07-22","Bachelor of Engineering (BE/BTech)","Fullstack Developer,DevOps Engineer","Male","Full-time","+442345678903","UK",67000,"GBP"
32,"Sofia Perez",27,2,"2022-06-15","Master of Computer Science (MSc CS)","Frontend Developer,UI/UX Designer","Female","Part-time","+13456789014","USA",57000,"USD"
33,"Ryan Roberts",38,11,"2020-10-05","Ph.D. in Computer Science","Machine Learning Engineer,Data Scientist","Male","Contract","+49876543213","Germany",93000,"EUR"
34,"Avery Turner",31,5,"2021-09-15","Master of Technology (MTech)","Backend Developer,Database Administrator","Female","Freelance","+34987654324","Spain",73000,"EUR"
35,"Benjamin Phillips",29,4,"2022-01-20","Diploma in Computer Science","Mobile Developer,QA Engineer","Male","Full-time","+82234567893","South Korea",66000,"USD"
36,"Scarlett Campbell",25,1,"2022-08-20","High School","Technical Support,Cloud Architect","Female","Part-time","+861234567893","China",51000,"USD"
37,"Samuel Parker",43,16,"2019-05-10","Ph.D. in Computer Science","Fullstack Developer,Machine Learning Engineer","Male","Contract","+11234567893","Canada",99000,"USD"
38,"Victoria Evans",30,6,"2021-12-01","Bachelor of Computer Science (BSc CS)","DevOps Engineer,Backend Developer","Female","Freelance","+61456789015","Australia",83000,"AUD"
39,"Henry Edwards",37,10,"2021-02-10","Master of Computer Science (MSc CS)","UI/UX Designer,Mobile Developer","Male","Full-time","+6567890126","Singapore",82000,"SGD"
40,"Madison Stewart",26,1,"2022-05-20","High School","QA Engineer,Technical Support","Other","Part-time","+33123456792","France",51000,"EUR"
41,"Jack Collins",33,7,"2021-06-18","Bachelor of Engineering (BE/BTech)","Cloud Architect,DevOps Engineer","Male","Full-time","+442345678904","UK",69000,"GBP"
42,"Luna Morris",28,3,"2022-03-10","Master of Computer Science (MSc CS)","Frontend Developer,UI/UX Designer","Female","Part-time","+13456789015","USA",59000,"USD"
43,"Dylan Murphy",40,13,"2020-07-22","Ph.D. in Computer Science","Data Scientist,Machine Learning Engineer","Male","Contract","+49876543214","Germany",96000,"EUR"
44,"Chloe Rivera",32,6,"2021-08-05","Master of Technology (MTech)","Fullstack Developer,Backend Developer","Female","Freelance","+34987654325","Spain",74000,"EUR"
45,"Gabriel Cook",30,5,"2021-11-10","Diploma in Computer Science","Mobile Developer,QA Engineer","Male","Full-time","+82234567894","South Korea",67000,"USD"
46,"Penelope Reed",24,0,"2022-09-15","High School","Technical Support","Female","Part-time","+861234567894","China",52000,"USD"
